书名,页面地址,图片地址
 Python核心编程 第3版 ,http://product.dangdang.com/23961748.html,http://img3x8.ddimg.cn/85/30/23961748-1_b_10.jpg
 Python编程 从入门到实践 ,http://product.dangdang.com/24003310.html,http://img3x0.ddimg.cn/67/4/24003310-1_b_5.jpg
 Python编程（第四版） ,http://product.dangdang.com/23617284.html,http://img3x4.ddimg.cn/42/36/23617284-1_b_2.jpg
 利用Python进行数据分析 ,http://product.dangdang.com/23368089.html,http://img3x9.ddimg.cn/30/36/23368089-1_b_2.jpg
 “笨办法”学Python(第3版) ,http://product.dangdang.com/23594855.html,http://img3x5.ddimg.cn/86/29/23594855-1_b_1.jpg
 “笨办法”学Python(第3版)(电子书) ,http://product.dangdang.com/1900670193.html,http://img3x3.ddimg.cn/81/25/1900670193-1_b_1.jpg
 用Python写网络爬虫 ,http://product.dangdang.com/24021241.html,http://img3x1.ddimg.cn/79/27/24021241-1_b_6.jpg
 Python机器学习 预测分析核心算法 ,http://product.dangdang.com/24159761.html,http://img3x1.ddimg.cn/98/19/24159761-1_b_2.jpg
 Python学习手册：第4版（涵盖Python2.6和3.X） ,http://product.dangdang.com/21063086.html,http://img3x6.ddimg.cn/44/22/21063086-1_b_0.jpg
 零基础学Python(300个实例、64个练习题，超值大容量DVD包含教学视频、源代码、PPT) ,http://product.dangdang.com/23663228.html,http://img3x8.ddimg.cn/50/26/23663228-1_b_1.jpg
 Head First Python（中文版） ,http://product.dangdang.com/22634348.html,http://img3x8.ddimg.cn/77/5/22634348-1_b_7.jpg
 Python自动化运维：技术与最佳实践 ,http://product.dangdang.com/23593858.html,http://img3x8.ddimg.cn/79/31/23593858-1_b_1.jpg
 Python极客项目编程 ,http://product.dangdang.com/25060153.html,http://img3x3.ddimg.cn/85/16/25060153-1_b_2.jpg
 精通Python网络爬虫：核心技术、框架与项目实战 ,http://product.dangdang.com/24227543.html,http://img3x3.ddimg.cn/65/17/24227543-1_b_3.jpg
 Python绝技：运用Python成为顶级黑客 ,http://product.dangdang.com/23839735.html,http://img3x5.ddimg.cn/40/6/23839735-1_b_2.jpg
 流畅的Python ,http://product.dangdang.com/25071121.html,http://img3x1.ddimg.cn/64/32/25071121-1_b_3.jpg
 Python 3程序开发指南（第2版 修订版） ,http://product.dangdang.com/23656113.html,http://img3x3.ddimg.cn/63/15/23656113-1_b_1.jpg
 贝叶斯思维 统计建模的Python学习法 ,http://product.dangdang.com/23667149.html,http://img3x9.ddimg.cn/11/25/23667149-1_b_1.jpg
 Python算法教程 ,http://product.dangdang.com/23834026.html,http://img3x6.ddimg.cn/73/32/23834026-1_b_4.jpg
 零起点Python大数据与量化交易 ,http://product.dangdang.com/24169777.html,http://img3x7.ddimg.cn/16/8/24169777-1_b_2.jpg
 Python项目开发实战 第2版 ,http://product.dangdang.com/24157563.html,http://img3x3.ddimg.cn/78/4/24157563-1_b_8.jpg
 Python编程快速上手 让繁琐工作自动化 ,http://product.dangdang.com/23997502.html,http://img3x2.ddimg.cn/1/5/23997502-1_b_6.jpg
 Python Web开发实战 ,http://product.dangdang.com/24029839.html,http://img3x9.ddimg.cn/64/4/24029839-1_b_6.jpg
 Python数据分析实战 ,http://product.dangdang.com/24025329.html,http://img3x9.ddimg.cn/9/8/24025329-1_b_17.jpg
 Python自然语言处理 ,http://product.dangdang.com/23503127.html,http://img3x7.ddimg.cn/32/24/23503127-1_b_0.jpg
 Python计算机视觉编程【陈熙霖作序推荐！ Amazon.com计算机视觉类图书卖的很好的作品！】 ,http://product.dangdang.com/23492776.html,http://img3x6.ddimg.cn/76/33/23492776-1_b_0.jpg
 Python机器学习 ,http://product.dangdang.com/24224397.html,http://img3x7.ddimg.cn/87/16/24224397-1_b_3.jpg
 教孩子学编程 Python语言版 ,http://product.dangdang.com/23928893.html,http://img3x3.ddimg.cn/98/31/23928893-1_b_11.jpg
 跟老齐学Python：轻松入门 ,http://product.dangdang.com/24220959.html,http://img3x9.ddimg.cn/15/19/24220959-1_b_3.jpg
 Python高级编程 ,http://product.dangdang.com/24104677.html,http://img3x7.ddimg.cn/58/28/24104677-1_b_6.jpg
 Python新手使用Django架站的16堂课 ,http://product.dangdang.com/25060826.html,http://img3x6.ddimg.cn/65/23/25060826-1_b_2.jpg
 Flask Web开发 基于Python的Web应用开发实战 ,http://product.dangdang.com/23617273.html,http://img3x3.ddimg.cn/31/25/23617273-1_b_1.jpg
 趣学Python编程 ,http://product.dangdang.com/23426467.html,http://img3x7.ddimg.cn/97/28/23426467-1_b_0.jpg
 Web接口开发与自动化测试――基于Python语言 ,http://product.dangdang.com/24244869.html,http://img3x9.ddimg.cn/66/27/24244869-1_b_2.jpg
 Python数据可视化编程实战 ,http://product.dangdang.com/23684243.html,http://img3x3.ddimg.cn/77/25/23684243-1_b_1.jpg
 Python参考手册 第4版 修订版 ,http://product.dangdang.com/24047813.html,http://img3x3.ddimg.cn/20/33/24047813-1_b_2.jpg
 Python入门经典 ,http://product.dangdang.com/23584027.html,http://img3x7.ddimg.cn/49/5/23584027-1_b_1.jpg
 Python编程入门（第3版）【学习Python基础知识的不二选择，Python程序员必备的参考指南！】 ,http://product.dangdang.com/23365275.html,http://img3x5.ddimg.cn/87/34/23365275-1_b_5.jpg
 编写高质量代码：改善Python程序的91个建议 ,http://product.dangdang.com/23494699.html,http://img3x9.ddimg.cn/19/32/23494699-1_b_1.jpg
 Python数据科学指南 ,http://product.dangdang.com/24143334.html,http://img3x4.ddimg.cn/6/20/24143334-1_b_6.jpg
 Python树莓派编程 ,http://product.dangdang.com/24102279.html,http://img3x9.ddimg.cn/36/35/24102279-1_b_5.jpg
 Python高效开发实战――Django、Tornado、Flask、Twisted ,http://product.dangdang.com/24058511.html,http://img3x1.ddimg.cn/26/1/24058511-1_b_6.jpg
 Python数据挖掘入门与实践 ,http://product.dangdang.com/23997506.html,http://img3x6.ddimg.cn/5/9/23997506-1_b_6.jpg
 Python高手之路 第3版 ,http://product.dangdang.com/24147202.html,http://img3x2.ddimg.cn/13/3/24147202-1_b_2.jpg
 Python数据分析基础教程：NumPy学习指南(第2版) ,http://product.dangdang.com/23399185.html,http://img3x5.ddimg.cn/40/15/23399185-1_b_3.jpg
 机器人系统设计与制作：Python语言实现 ,http://product.dangdang.com/24229766.html,http://img3x6.ddimg.cn/11/20/24229766-1_b_2.jpg
 Python可以这样学 ,http://product.dangdang.com/24180463.html,http://img3x3.ddimg.cn/10/1/24180463-1_b_1.jpg
 Effective Python:编写高质量Python代码的59个有效方法 ,http://product.dangdang.com/23895603.html,http://img3x3.ddimg.cn/72/4/23895603-1_b_2.jpg
 Python语言程序设计(Daniel Liang[梁勇]博士系列丛书之一，以实例教，由实践学，采用基础先行、问题驱动的方法引导读者) ,http://product.dangdang.com/23689934.html,http://img3x4.ddimg.cn/26/18/23689934-1_b_1.jpg
 Python数据可视化 ,http://product.dangdang.com/24247975.html,http://img3x5.ddimg.cn/4/25/24247975-1_b_3.jpg
 OpenCV 3计算机视觉：Python语言实现（原书第2版） ,http://product.dangdang.com/23985571.html,http://img3x1.ddimg.cn/49/25/23985571-1_b_6.jpg
 趣学Python――教孩子学编程 ,http://product.dangdang.com/23648843.html,http://img3x3.ddimg.cn/20/34/23648843-1_b_0.jpg
 Python程序设计教程 ,http://product.dangdang.com/24176512.html,http://img3x2.ddimg.cn/19/9/24176512-1_b_6.jpg
 Python编程基础 ,http://product.dangdang.com/24058302.html,http://img3x2.ddimg.cn/15/14/24058302-1_b_2.jpg
 Python Qt GUI快速编程――PyQt编程指南 ,http://product.dangdang.com/24031641.html,http://img3x1.ddimg.cn/84/30/24031641-1_b_5.jpg
 像计算机科学家一样思考Python 第2版 ,http://product.dangdang.com/24003387.html,http://img3x7.ddimg.cn/45/7/24003387-1_b_6.jpg
 Python程序设计入门到实战 ,http://product.dangdang.com/24163008.html,http://img3x8.ddimg.cn/78/10/24163008-1_b_5.jpg
 预测分析建模：Python与R语言实现 ,http://product.dangdang.com/24035325.html,http://img3x5.ddimg.cn/6/14/24035325-1_b_11.jpg
 Selenium 2自动化测试实战――基于Python语言 ,http://product.dangdang.com/23851258.html,http://img3x8.ddimg.cn/79/22/23851258-1_b_2.jpg
 21天学通Python ,http://product.dangdang.com/23837161.html,http://img3x1.ddimg.cn/40/22/23837161-1_b_5.jpg
 Python数据分析基础（影印版） ,http://product.dangdang.com/24196987.html,http://img3x7.ddimg.cn/1/23/24196987-1_b_1.jpg
 Raspberry Pi编程指南 第2版 基于Python的游戏编程与机器人制作 ,http://product.dangdang.com/24175145.html,http://img3x5.ddimg.cn/38/11/24175145-1_b_4.jpg
 Python程序设计（第2版） ,http://product.dangdang.com/23969371.html,http://img3x1.ddimg.cn/85/31/23969371-1_b_6.jpg
 Python程序设计 ,http://product.dangdang.com/23917218.html,http://img3x8.ddimg.cn/6/11/23917218-1_b_2.jpg
 Python网络编程攻略 ,http://product.dangdang.com/23604383.html,http://img3x3.ddimg.cn/11/11/23604383-1_b_1.jpg
 Python程序设计基础 ,http://product.dangdang.com/24156746.html,http://img3x6.ddimg.cn/53/1/24156746-1_b_4.jpg
 Python即学即用 ,http://product.dangdang.com/24045630.html,http://img3x0.ddimg.cn/15/33/24045630-1_b_6.jpg
 Python性能分析与优化 ,http://product.dangdang.com/23985333.html,http://img3x3.ddimg.cn/9/9/23985333-1_b_6.jpg
 Python Web开发 测试驱动方法 ,http://product.dangdang.com/23792587.html,http://img3x7.ddimg.cn/16/33/23792587-1_b_4.jpg
 Python 3面向对象编程 ,http://product.dangdang.com/23727586.html,http://img3x6.ddimg.cn/58/4/23727586-1_b_1.jpg
 Python程序设计习题解析 ,http://product.dangdang.com/25061815.html,http://img3x5.ddimg.cn/64/13/25061815-1_b_2.jpg
 零起点Python机器学习快速入门 ,http://product.dangdang.com/25061627.html,http://img3x7.ddimg.cn/74/10/25061627-1_b_3.jpg
 精通Python设计模式 ,http://product.dangdang.com/24003313.html,http://img3x3.ddimg.cn/70/7/24003313-1_b_16.jpg
 Effective Python：编写高质量Python代码的59个有效方法 英文版 ,http://product.dangdang.com/23934467.html,http://img3x7.ddimg.cn/29/18/23934467-1_b_9.jpg
 面向设计师的编程设计知识系统PADKS--学习Python做个有编程能力的设计师 ,http://product.dangdang.com/23750936.html,http://img3x6.ddimg.cn/44/7/23750936-1_b_1.jpg
 深入浅出Python（影印版） ,http://product.dangdang.com/22528961.html,http://img3x1.ddimg.cn/26/31/22528961-1_b_1.jpg
 Python语言在Abaqus中的应用 ,http://product.dangdang.com/22479069.html,http://img3x9.ddimg.cn/30/15/22479069-1_b_1.jpg
 Python程序设计与算法基础教程 ,http://product.dangdang.com/25085366.html,http://img3x6.ddimg.cn/53/32/25085366-1_b_3.jpg
 Python实用教程 ,http://product.dangdang.com/24046878.html,http://img3x8.ddimg.cn/75/23/24046878-1_b_5.jpg
 Python数据处理（影印版） ,http://product.dangdang.com/24196986.html,http://img3x6.ddimg.cn/0/22/24196986-1_b_1.jpg
 程序设计导论：Python语言实践（英文版） ,http://product.dangdang.com/23895607.html,http://img3x7.ddimg.cn/76/8/23895607-1_b_3.jpg
 面向设计师的编程设计知识系统PADKS--ArcGIS下的Python编程 ,http://product.dangdang.com/23750938.html,http://img3x8.ddimg.cn/46/9/23750938-1_b_1.jpg
 计算机科学导论――以Python为舟 ,http://product.dangdang.com/23577813.html,http://img3x3.ddimg.cn/72/7/23577813-1_b_1.jpg
 树莓派Python编程入门与实战（第2版） ,http://product.dangdang.com/24010144.html,http://img3x4.ddimg.cn/70/30/24010144-1_b_12.jpg
 Python程序设计与实现 ,http://product.dangdang.com/23904349.html,http://img3x9.ddimg.cn/7/18/23904349-1_b_2.jpg
 Python入门（影印版） ,http://product.dangdang.com/23795026.html,http://img3x6.ddimg.cn/79/30/23795026-1_b_1.jpg
" Greedy Python (Ready to Read, Level 1) (by Eric Carle) 《贪婪的蟒蛇》 ISBN 9781442445765 ",http://product.dangdang.com/22914694.html,http://img3x4.ddimg.cn/55/2/22914694-1_b_1.jpg
 零起点Python足彩大数据与机器学习实盘分析 ,http://product.dangdang.com/25065665.html,http://img3x5.ddimg.cn/53/15/25065665-1_b_2.jpg
 跟老齐学Python：从入门到精通 ,http://product.dangdang.com/23908887.html,http://img3x7.ddimg.cn/90/5/23908887-1_b_12.jpg
 易学Python ,http://product.dangdang.com/23439401.html,http://img3x1.ddimg.cn/62/12/23439401-1_b_0.jpg
 Greedy Python [Board Book] (by Eric Carle) 《贪婪的蟒蛇》(卡板书) ISBN 9781416982906 ,http://product.dangdang.com/22914693.html,http://img3x3.ddimg.cn/54/1/22914693-1_b_1.jpg
 Python数据分析（影印版） ,http://product.dangdang.com/23823647.html,http://img3x7.ddimg.cn/89/13/23823647-1_b_2.jpg
 Python硬件编程实战 ,http://product.dangdang.com/23652490.html,http://img3x0.ddimg.cn/4/18/23652490-1_b_1.jpg
 Python宝典 ,http://product.dangdang.com/23470267.html,http://img3x7.ddimg.cn/40/20/23470267-1_b_0.jpg
 Python源码剖析――深度探索动态语言核心技术(电子书) ,http://product.dangdang.com/1900072487.html,http://img3x7.ddimg.cn/38/17/1900072487-1_b_0.jpg
 NLTK基础教程 用NLTK和Python库构建机器学习应用 ,http://product.dangdang.com/25079395.html,http://img3x5.ddimg.cn/22/18/25079395-1_b_1.jpg
 计算机科学导论――以Python为舟（第2版） ,http://product.dangdang.com/24034054.html,http://img3x4.ddimg.cn/22/1/24034054-1_b_0.jpg
 Python程序设计基础 ,http://product.dangdang.com/23766083.html,http://img3x3.ddimg.cn/44/21/23766083-1_b_83.jpg
 数据科学导论：Python语言实现(电子书) ,http://product.dangdang.com/1900568893.html,http://img3x3.ddimg.cn/58/31/1900568893-1_b_0.jpg
 Python和HDF 5大数据应用 ,http://product.dangdang.com/23906336.html,http://img3x6.ddimg.cn/14/7/23906336-1_b_4.jpg
 Python程序设计基础 ,http://product.dangdang.com/23767844.html,http://img3x4.ddimg.cn/23/6/23767844-1_b_82.jpg
 零基础学Python（图文版） ,http://product.dangdang.com/23731352.html,http://img3x2.ddimg.cn/62/33/23731352-1_b_1.jpg
 Python开发实战 ,http://product.dangdang.com/23478954.html,http://img3x4.ddimg.cn/15/12/23478954-1_b_3.jpg
 编写高质量代码：改善Python程序的91个建议(电子书) ,http://product.dangdang.com/1900396897.html,http://img3x7.ddimg.cn/25/11/1900396897-1_b_2.jpg
 Python数据挖掘：概念、方法与实践 ,http://product.dangdang.com/25085493.html,http://img3x3.ddimg.cn/81/11/25085493-1_b_3.jpg
 Python测试驱动开发（影印版） ,http://product.dangdang.com/23784511.html,http://img3x1.ddimg.cn/58/23/23784511-1_b_1.jpg
 算法与程序设计基础 Python版  21世纪高等学校计算机基础实用规划教材  ,http://product.dangdang.com/23655756.html,http://img3x6.ddimg.cn/3/28/23655756-1_b_1.jpg
 Python计算与编程实践：多媒体方法（原书第2版） ,http://product.dangdang.com/22802721.html,http://img3x1.ddimg.cn/51/28/22802721-1_b_0.jpg
 【预订】Learn Python the Hard Way: A Very Simple ,http://product.dangdang.com/1178545808.html,http://img3x8.ddimg.cn/11/15/1178545808-1_b_0.jpg
 Python程序设计教程 ,http://product.dangdang.com/24135581.html,http://img3x1.ddimg.cn/74/0/24135581-1_b_6.jpg
 Python程序设计教程 ,http://product.dangdang.com/24031123.html,http://img3x3.ddimg.cn/61/30/24031123-1_b_6.jpg
 Python程序设计 ,http://product.dangdang.com/23759719.html,http://img3x9.ddimg.cn/16/21/23759719-1_b_650.jpg
" Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython ",http://product.dangdang.com/1223492520.html,http://img3x0.ddimg.cn/30/15/1223492520-1_b_0.jpg
 Python数据科学实践指南 ,http://product.dangdang.com/25085492.html,http://img3x2.ddimg.cn/80/10/25085492-1_b_2.jpg
 Python语言程序设计 ,http://product.dangdang.com/23956641.html,http://img3x1.ddimg.cn/27/29/23956641-1_b_9.jpg
 Python Web开发学习实录（配光盘）（Web程序员成功之路） ,http://product.dangdang.com/22511531.html,http://img3x1.ddimg.cn/20/28/22511531-1_b_1.jpg
 Python网络编程 第3版 ,http://product.dangdang.com/24034842.html,http://img3x2.ddimg.cn/18/12/24034842-1_b_5.jpg
 【预订】Python Scripting for Arcgis ,http://product.dangdang.com/1219555708.html,http://img3x8.ddimg.cn/52/3/1219555708-1_b_0.jpg
 Python与数据科学 ,http://product.dangdang.com/23940557.html,http://img3x7.ddimg.cn/80/3/23940557-1_b_5.jpg
" Python语言程序设计（英文版,作者全新编写针对Python程序设计的权威教材） ",http://product.dangdang.com/23215938.html,http://img3x8.ddimg.cn/42/29/23215938-1_b_1.jpg
 Python Cookbook（第2版）中文版(Python Cookbook（第2版）中文版（非常实用的Python技术参考手册）) ,http://product.dangdang.com/20836565.html,http://img3x5.ddimg.cn/35/15/20836565-1_b_2.jpg
 【预订】Python 3 and C or C++ ,http://product.dangdang.com/1162375708.html,http://img3x8.ddimg.cn/76/25/1162375708-1_b_0.jpg
 Rapid GUI Programming with Python and Qt (Prentice Hall Open Source Software Development) [ISBN: 978-0132354189] ,http://product.dangdang.com/1160918426.html,http://img3x6.ddimg.cn/74/25/1160918426-1_b_1.jpg
 【预订】Natural Language Processing with Python ,http://product.dangdang.com/1062128408.html,http://img3x8.ddimg.cn/77/7/1062128408-1_b_0.jpg
 Python 语言构建机器学习系统 第2版（影印版） ,http://product.dangdang.com/23823645.html,http://img3x5.ddimg.cn/87/11/23823645-1_b_2.jpg
 Spark for Python Developers(电子书) ,http://product.dangdang.com/1900535711.html,http://img3x1.ddimg.cn/41/1/1900535711-1_b_2.jpg
 Getting Started with Python Data Analysis(电子书) ,http://product.dangdang.com/1900503140.html,http://img3x0.ddimg.cn/41/27/1900503140-1_b_0.jpg
